neighbourhood_group_cleansed,id,listing_url,name,host_id,host_name,calculated_host_listings_count,host_is_superhost,latitude,longitude,price,kitchen,patio or balcony,elevator,air conditioning,long_term,short_term,possible_long_term,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded
Eixample,269467,https://www.airbnb.com/rooms/269467,Sunny and quiet Loft next to Sagrada Familia,1411775,Jeremies,3,f,41.40181,2.1761,176.0,1,1,0,1,0,0,1,90,4.74,0,0
Ciutat Vella,270197,https://www.airbnb.com/rooms/270197,*monthly stays* 4 Bedroom Apartment near Rambla,1414702,Ferran,27,f,41.37936,2.17376,74.0,1,0,0,0,1,0,1,2,4.0,0,1
Eixample,18674,https://www.airbnb.com/rooms/18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia  Maria,27,f,41.40556,2.17262,257.0,1,1,1,0,0,0,1,41,4.35,0,1
Eixample,272282,https://www.airbnb.com/rooms/272282,"CHARMING, VERY SPACIOUS & BEST LOCATED",1425070,Mar,1,t,41.38347,2.15802,239.0,1,1,1,1,0,0,1,414,4.92,0,1
Sant Martí,23197,https://www.airbnb.com/rooms/23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",90417,Etain (Marnie),1,f,41.41243172529066,2.219750335269476,249.0,1,1,1,0,0,0,1,78,4.79,0,1
Gràcia,32711,https://www.airbnb.com/rooms/32711,Sagrada Familia area - Còrsega 1,135703,Nick,2,f,41.40566,2.17015,240.0,1,1,1,0,0,1,1,121,4.46,0,1
Eixample,273229,https://www.airbnb.com/rooms/273229,Confortable and very well located,1429552,Marta,1,t,41.3778,2.1582,126.0,1,1,1,1,0,0,1,174,4.65,0,0
Ciutat Vella,34241,https://www.airbnb.com/rooms/34241,Stylish Top Floor Apartment - Ramblas Plaza Real,73163,Andres,3,f,41.38062,2.17517,229.0,1,0,1,1,0,0,1,13,4.2,0,0
Eixample,273932,https://www.airbnb.com/rooms/273932,Oriental Design apartment,1432835,Angel,41,t,41.3895,2.15769,281.0,1,0,1,0,0,0,1,295,4.71,0,1
Ciutat Vella,274221,https://www.airbnb.com/rooms/274221,mr1 Gothic Happy Guests & Hammock City Center,1447144,Acomodis Apartments,207,f,41.37938,2.18111,393.0,1,0,1,1,0,0,1,13,4.18,0,1
Ciutat Vella,34981,https://www.airbnb.com/rooms/34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,3,f,41.37978,2.17623,450.0,1,0,1,1,0,0,1,234,4.53,0,1
Ciutat Vella,36763,https://www.airbnb.com/rooms/36763,In front of the beach,158596,Ester,1,f,41.38043,2.19094,167.0,1,1,1,1,0,0,1,109,4.79,0,0
Eixample,275336,https://www.airbnb.com/rooms/275336,Noname - Charming 3BR+Terrace just off Gran Via,1435464,Jaume,13,f,41.38306672940918,2.1551754500947617,193.0,1,1,1,0,0,0,1,138,4.68,0,1
Eixample,40983,https://www.airbnb.com/rooms/40983,Soho Colonial Eclectic Apartment,177617,Joaquin,7,t,41.39631,2.16832,175.0,1,0,0,0,0,0,1,319,4.45,0,0
Gràcia,41952,https://www.airbnb.com/rooms/41952,Modern Apartment - Sagrada Familia,183340,Teresa,3,f,41.40568,2.16943,177.0,1,0,1,1,0,0,1,85,4.32,0,1
Sarrià-Sant Gervasi,275346,https://www.airbnb.com/rooms/275346,Sunny terrace penthouse by Camp Nou Free Nespresso,1435464,Jaume,13,f,41.39175721131073,2.125056260360505,386.0,1,1,1,1,0,0,1,83,4.76,0,1
Gràcia,49968,https://www.airbnb.com/rooms/49968,Sagrada Familia area - Còrsega 2,135703,Nick,2,f,41.4057,2.17016,240.0,1,1,1,1,0,1,1,108,4.64,0,1
Gràcia,276527,https://www.airbnb.com/rooms/276527,Nice rustic apartament - Parc Güell  PARKING FREE,1444707,Jesus,2,f,41.42042,2.148,160.0,1,1,0,1,0,0,1,593,4.59,0,1
Sant Martí,283231,https://www.airbnb.com/rooms/283231,FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC,1475411,Francesco,1,t,41.39086,2.18803,150.0,1,1,1,0,0,0,1,323,4.93,0,0
Sant Martí,58512,https://www.airbnb.com/rooms/58512,Stylish & cozy 3BR near Sagrada Familia,280070,Cristina,1,f,41.41129,2.18193,145.0,1,0,0,1,0,0,1,383,4.48,0,1
Ciutat Vella,68547,https://www.airbnb.com/rooms/68547,Spacious 2 bedroom flat special offer 40% OFF,340570,Audun,2,f,41.3806,2.17796,150.0,1,1,0,0,0,0,1,92,4.74,0,1
Eixample,288034,https://www.airbnb.com/rooms/288034,pb5 NICE BARCELONA QUIET & WITH TERRACE NICE FLAT,1447144,Acomodis Apartments,207,f,41.38839,2.15019,140.0,1,1,0,0,0,0,1,19,4.65,0,0
Ciutat Vella,288781,https://www.airbnb.com/rooms/288781,Private terrace in Old town,1411775,Jeremies,3,f,41.37783,2.16624,105.0,1,0,0,0,1,0,1,0,0.0,0,0
Ciutat Vella,290535,https://www.airbnb.com/rooms/290535,"vig1 Happy great location in El Born, old town!",1447144,Acomodis Apartments,207,f,41.38493,2.1809,380.0,1,0,0,1,0,0,1,8,4.88,0,1
Gràcia,71520,https://www.airbnb.com/rooms/71520,Charming apartment with fantastic views!,366428,Ariadna,1,f,41.41841,2.13307,350.0,1,0,0,0,0,1,0,1,5.0,0,1
Sant Martí,291160,https://www.airbnb.com/rooms/291160,ica BEACH AREA - GREAT LOCATION - VILA OLÍMPICA!!!,1447144,Acomodis Apartments,207,f,41.39383,2.19813,320.0,1,0,1,1,0,0,1,8,4.88,0,1
Eixample,71553,https://www.airbnb.com/rooms/71553,Best deals for penthouse near Sagrada Familia!,366654,Watermelon Barcelona Apartments,3,f,41.39705,2.17469,186.0,1,1,0,1,0,0,1,82,4.23,0,0
Gràcia,295200,https://www.airbnb.com/rooms/295200,Amazing penthouse with private terrace,612665,Oscar,4,t,41.40697,2.16106,201.0,1,1,1,0,0,0,1,260,4.7,0,0
Ciutat Vella,71736,https://www.airbnb.com/rooms/71736,Long term entire months more than 32 nitghts,368317,Nacharosa,6,f,41.38174,2.16663,70.0,1,1,0,1,0,0,1,10,3.88,0,1
Gràcia,315769,https://www.airbnb.com/rooms/315769,Casa Tortilla Sagrada Familia,1994100,Marcello,3,t,41.40466,2.17147,142.0,1,0,0,1,0,0,1,61,4.84,0,1
Sant Martí,72436,https://www.airbnb.com/rooms/72436,Lugaris Beach Business Apartment,375625,Xavier,6,f,41.39909,2.20733,371.0,1,0,1,1,0,1,0,822,4.73,0,0
Ciutat Vella,72793,https://www.airbnb.com/rooms/72793,Long  Term Colorist apartment minimon 32 nights,368317,Nacharosa,6,f,41.38104,2.16565,70.0,1,1,0,0,0,0,1,1,5.0,0,1
Ciutat Vella,72794,https://www.airbnb.com/rooms/72794,LONG TERM FANTASTIC APARTMENT MINIMUM 32 NIGHTS,368317,Nacharosa,6,f,41.38214,2.16568,70.0,1,1,0,1,0,0,1,7,4.33,0,0
Sants-Montjuïc,320506,https://www.airbnb.com/rooms/320506,The Loft Barcelona,1642180,The Loft,1,f,41.37195,2.16936,139.0,1,1,1,1,0,0,1,71,4.74,0,0
Eixample,323854,https://www.airbnb.com/rooms/323854,Casa Sagrada Familia Bcn Doubleroom,1657312,Alberto,1,f,41.40843,2.17494,239.0,1,0,1,0,0,1,0,21,4.56,0,0
Eixample,75003,https://www.airbnb.com/rooms/75003,130. Hércules Pequeño 41,396363,Alcam Apartments,66,f,41.40399,2.17802,94.0,1,1,0,1,0,0,1,46,4.16,0,1
Ciutat Vella,330723,https://www.airbnb.com/rooms/330723,SUNNY ROOM WITH BALCONY,1687383,Morpheus Stays X JuanMi,2,t,41.37571,2.17118,21.0,1,0,1,0,0,0,1,54,4.52,0,0
Sant Martí,75411,https://www.airbnb.com/rooms/75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,9,f,41.40682,2.18649,182.0,1,1,0,1,0,0,1,98,4.44,0,1
Sants-Montjuïc,80004,https://www.airbnb.com/rooms/80004,Parc Montjuic HUTB-004026 58,431839,Xavier,1,t,41.37371,2.16706,189.0,1,1,1,1,0,0,1,184,4.65,0,1
Sant Martí,330745,https://www.airbnb.com/rooms/330745,Hi-Tech BEACHFRONT Apt w/ sea view!,768692,Robert,1,f,41.38777,2.19601,220.0,1,0,1,1,0,0,1,17,4.62,0,1
Eixample,83283,https://www.airbnb.com/rooms/83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,1,f,41.38237,2.16146,93.0,0,0,1,0,0,0,1,126,4.39,0,0
Eixample,330766,https://www.airbnb.com/rooms/330766,Urquinaona tranquilo y céntrico,1687524,Virginia,2,t,41.39076,2.17503,160.0,1,0,1,1,0,0,1,268,4.88,0,0
Ciutat Vella,89756,https://www.airbnb.com/rooms/89756,"bcn-rentals ramblas 9, right in the city centre",488117,David Y Maria,6,t,41.37861,2.16737,370.0,1,1,1,0,0,0,1,25,4.72,0,1
Eixample,89776,https://www.airbnb.com/rooms/89776,Modernist aparment in the heart of the city,3556337,Alejandro,61,t,41.39224,2.17806,194.0,1,0,1,1,0,0,1,375,4.79,0,0
Eixample,330957,https://www.airbnb.com/rooms/330957,Central 3 bedroom beautiful APT,893805,Phil And Fiona,13,t,41.39782414629114,2.170576755958843,251.0,1,1,1,0,0,0,1,615,4.77,0,1
Ciutat Vella,95719,https://www.airbnb.com/rooms/95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,2,f,41.38496,2.17982,90.0,0,0,0,1,0,0,1,256,4.75,0,0
Eixample,331026,https://www.airbnb.com/rooms/331026,Small basic room in a nice shared  apt,440881,Lee,1,f,41.37793,2.15978,41.0,1,1,1,0,0,1,0,282,4.65,0,0
Gràcia,97529,https://www.airbnb.com/rooms/97529,Furnished one bedroom apartment with bathroom,497450,Francesc,1,f,41.408790588378906,2.1660659313201904,47.0,1,1,1,0,1,0,1,67,4.74,0,0
Eixample,333190,https://www.airbnb.com/rooms/333190,Super location! by months,1697782,Joel,2,t,41.40131,2.18191,63.0,0,0,1,0,0,0,1,281,4.81,0,0
Gràcia,110041,https://www.airbnb.com/rooms/110041,002. Alió 2 Apartment,396363,Alcam Apartments,66,f,41.40271,2.16646,94.0,1,1,0,1,0,0,1,61,4.15,0,0
Eixample,112538,https://www.airbnb.com/rooms/112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,19,f,41.40653,2.1746,588.0,1,1,1,1,0,0,1,125,4.41,0,1
Sant Martí,335861,https://www.airbnb.com/rooms/335861,Modern Flat,1221038,Mar,3,f,41.40349,2.20414,193.0,1,1,0,0,0,0,1,114,4.17,0,1
Eixample,117010,https://www.airbnb.com/rooms/117010,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,19,f,41.40647,2.17457,516.0,1,0,1,1,0,1,0,52,4.58,0,1
Eixample,118228,https://www.airbnb.com/rooms/118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,19,f,41.40653,2.1746,534.0,1,1,1,1,0,1,0,60,4.6,0,1
Sant Martí,337755,https://www.airbnb.com/rooms/337755,SEALONA VILA OLIMPICA BEACH,1716315,Marc,12,t,41.39253234863281,2.19325590133667,249.0,1,1,1,1,0,0,1,65,4.63,0,0
Sants-Montjuïc,128463,https://www.airbnb.com/rooms/128463,Private Suite in residential area!!,635253,Sebastian,1,t,41.37155,2.13664,117.0,1,1,0,0,0,0,1,423,4.85,0,0
Sant Martí,135513,https://www.airbnb.com/rooms/135513,Apartamento Poble Nou y Playa,664196,Teresa,1,f,41.39787,2.20429,196.0,1,1,1,0,0,0,1,133,4.66,0,1
Ciutat Vella,339310,https://www.airbnb.com/rooms/339310,Beachfront / Sea View/ WIFI / AirCon,829041,Myra,1,f,41.37732,2.19049,120.0,1,0,0,1,0,0,1,78,4.9,0,0
Sant Martí,136661,https://www.airbnb.com/rooms/136661,Beautiful house near beach long term > 31 days,668991,Andreas,1,f,41.39047,2.19698,250.0,1,0,0,0,0,0,1,4,4.75,0,1
Gràcia,343858,https://www.airbnb.com/rooms/343858,Céntrico Apartamento de 2 habitaciones en Gracia.,1744516,Silvia & Luís,37,f,41.40172,2.16322,219.0,1,0,0,1,0,0,1,3,4.0,0,1
Les Corts,136670,https://www.airbnb.com/rooms/136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,3,t,41.38832,2.12201,45.0,1,0,1,0,1,0,1,135,4.61,0,0
Eixample,138055,https://www.airbnb.com/rooms/138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,19,f,41.40653,2.1746,483.0,1,1,1,1,0,1,0,125,4.52,0,1
Horta-Guinardó,147275,https://www.airbnb.com/rooms/147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,1,t,41.42337,2.1749,18.0,1,1,1,0,0,0,1,131,4.25,0,0
Eixample,343861,https://www.airbnb.com/rooms/343861,Apartamento 1 habitación y balcón  en Gracia,1744516,Silvia & Luís,37,f,41.39993,2.16536,193.0,1,0,0,1,0,0,1,37,4.46,0,0
Ciutat Vella,153376,https://www.airbnb.com/rooms/153376,Single room. central and quite,737399,Omar,1,f,41.38615,2.17636,60.0,0,0,0,0,0,1,0,22,5.0,0,0
Gràcia,343864,https://www.airbnb.com/rooms/343864,3 BD APT IN THE HEART OF GRACIA VIRREINA,1744516,Silvia & Luís,37,f,41.40735,2.15885,238.0,1,0,0,0,0,0,1,38,4.55,0,1
Eixample,154437,https://www.airbnb.com/rooms/154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,1,f,41.39202,2.15101,239.0,1,0,1,0,0,0,1,95,4.86,0,0
Eixample,162091,https://www.airbnb.com/rooms/162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,19,f,41.4064,2.17449,490.0,1,0,1,1,0,1,0,68,4.51,0,1
Gràcia,343866,https://www.airbnb.com/rooms/343866,COSY 3BD  APARTMENT + 2 BATH IN GRACIA VIRREINA,1744516,Silvia & Luís,37,f,41.40399,2.15565,236.0,1,0,0,0,0,0,1,110,4.49,0,1
Sants-Montjuïc,343972,https://www.airbnb.com/rooms/343972,Magic Fountain B&B WI-FI DOBLE ROOM,1744964,Patricia,1,f,41.37184,2.14799,189.0,0,0,1,0,0,0,1,7,4.67,0,0
Ciutat Vella,163536,https://www.airbnb.com/rooms/163536,Cosy design apartment trendy Born 5 bed 2bathroom,713364,Horacio,1,t,41.38651,2.18271,314.0,1,1,1,1,1,0,1,28,4.69,0,1
Sant Martí,171646,https://www.airbnb.com/rooms/171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,9,f,41.40671,2.18592,160.0,1,1,0,1,0,0,1,108,4.83,0,1
