neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded
Retiro;1104967621421098322;https://www.airbnb.com/rooms/1104967621421098322;"Habitación de lujo; baño privado";565307927;Carolina;1;f;40.4069796;-3.6750154;68.0;0;0;0;0;0;1;0;2;4.5;1;0
Puente de Vallecas;930941073152690361;https://www.airbnb.com/rooms/930941073152690361;habitación para pareja;442944608;Jonathan Jesus;2;f;40.3921;-3.67003;16.0;0;0;0;0;0;0;1;3;5.0;1;0
Puente de Vallecas;51647382;https://www.airbnb.com/rooms/51647382;Buenos Aires en Madrid;252336445;Norma;2;f;40.39511;-3.67143;25.0;1;0;0;0;0;0;1;186;4.67;1;1
Carabanchel;1026072412626070839;https://www.airbnb.com/rooms/1026072412626070839;Habitación Madrid Rio!;545435841;Gean Piero;1;f;40.39555483922258;-3.7164371179819233;26.0;1;0;0;0;0;0;1;1;5.0;1;0
Salamanca;766423030884644417;https://www.airbnb.com/rooms/766423030884644417;habitación para turista;3882456;Gabriela CHÁVEZ;1;f;40.43045;-3.6721;100.0;1;0;0;1;0;1;0;0;0.0;1;0
Centro;52547327;https://www.airbnb.com/rooms/52547327;Private room in the center of Madrid;343428667;Klevi;7;f;40.42732;-3.70129;45.0;0;0;1;0;0;0;1;30;4.23;1;0
Centro;912133850058274259;https://www.airbnb.com/rooms/912133850058274259;Preciosa habitación en Chamberí;448890645;Salomé;46;f;40.428946350853515;-3.7054105056548887;25.0;1;0;0;0;0;0;1;0;0.0;1;0
Arganzuela;35987869;https://www.airbnb.com/rooms/35987869;"Beautiful;spacious room in centrally-located flat";143517366;Natalia;1;f;40.40638;-3.69491;141.0;1;0;0;0;0;0;1;0;0.0;1;0
Carabanchel;36412220;https://www.airbnb.com/rooms/36412220;Cama calle de redentor;273770956;Matheus;1;f;40.37154;-3.7538;82.0;1;0;0;0;0;1;0;0;0.0;1;0
Barajas;19032176;https://www.airbnb.com/rooms/19032176;San Vicente;84336811;Hugo Nelson;1;f;40.47942;-3.59743;101.0;1;0;0;1;0;0;1;0;0.0;0;0
Latina;37411599;https://www.airbnb.com/rooms/37411599;马德里的家;282035803;Huixingzhen;1;f;40.41131;-3.73556;70.0;1;0;0;0;0;0;1;0;0.0;1;1
Chamberí;38887176;https://www.airbnb.com/rooms/38887176;Apartamento en madrid;297816035;Gonzalo;1;f;40.44168;-3.71689;128.0;1;0;1;0;0;0;1;0;0.0;2;1
Centro;287660;https://www.airbnb.com/rooms/287660;Beatiful downtown room with balcony;1496188;Juanpe;2;f;40.42683;-3.71108;157.0;1;0;1;0;0;0;1;11;5.0;1;0
Latina;892453;https://www.airbnb.com/rooms/892453;NICEStay_High Value(WhiteRoom)_WIFI;2783896;Ivaylo;3;t;40.40726;-3.74174;70.0;1;0;1;0;0;1;0;10;4.67;1;0
Centro;1790920;https://www.airbnb.com/rooms/1790920;Lovelly studio for 2 in the heart of Madrid;6915283;Joao;1;f;40.42896;-3.70693;157.0;1;0;1;1;0;1;0;0;0.0;2;0
Arganzuela;8014398;https://www.airbnb.com/rooms/8014398;habitación doble cama matrimonial;42316038;Joel;1;f;40.39655;-3.70134;141.0;0;0;1;0;0;0;1;0;0.0;1;0
Chamberí;9708971;https://www.airbnb.com/rooms/9708971;Andres Mellado 23;50128107;Julio;1;f;40.4318;-3.71278;128.0;1;0;0;1;0;0;1;0;0.0;2;0
