id,neighbourhood_group_cleansed,name,host_id,host_name,host_is_superhost,calculated_host_listings_count,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
269467,Eixample,Sunny and quiet Loft next to Sagrada Familia,1411775,Jeremies,f,3,41.40181,2.1761,1,1,0,1,90,4.74,2,0,176.0,Economic,1.7201224460262075,1-2 km
18674,Eixample,Huge flat for 8 people close to Sagrada Familia,71615,Mireia  Maria,f,27,41.40556,2.17262,1,1,1,0,41,4.35,2,1,257.0,Luxury,2.046951831234084,2-3 km
272282,Eixample,CHARMING; VERY SPACIOUS & BEST LOCATED,1425070,Mar,t,1,41.38347,2.15802,1,1,1,1,414,4.92,2,1,239.0,Luxury,0.9849134492000736,<1 km
23197,Sant Martí,Forum CCIB DeLuxe; Spacious; Large Balcony; relax,90417,Etain (Marnie),f,1,41.41243172529066,2.219750335269476,1,1,1,0,78,4.79,2,1,249.0,Luxury,5.094047714682446,5-8 km
32711,Gràcia,Sagrada Familia area - Còrsega 1,135703,Nick,f,2,41.40566,2.17015,1,1,1,0,121,4.46,2,1,240.0,Luxury,2.0345315729906788,2-3 km
273229,Eixample,Confortable and very well located,1429552,Marta,t,1,41.3778,2.1582,1,1,1,1,174,4.65,2,0,126.0,Economic,1.375632732987736,1-2 km
34241,Ciutat Vella,Stylish Top Floor Apartment - Ramblas Plaza Real,73163,Andres,f,3,41.38062,2.17517,1,0,1,1,13,4.2,2,0,229.0,Luxury,0.932101374032684,<1 km
273932,Eixample,Oriental Design apartment,1432835,Angel,t,41,41.3895,2.15769,1,0,1,0,295,4.71,2,1,281.0,Luxury,0.9396263611178468,<1 km
274221,Ciutat Vella,mr1 Gothic Happy Guests & Hammock City Center,1447144,Acomodis Apartments,f,207,41.37938,2.18111,1,0,1,1,13,4.18,2,1,393.0,Luxury,1.372808398870662,1-2 km
34981,Ciutat Vella,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,f,3,41.37978,2.17623,1,0,1,1,234,4.53,2,1,450.0,Luxury,1.0597853516384532,1-2 km
36763,Ciutat Vella,In front of the beach,158596,Ester,f,1,41.38043,2.19094,1,1,1,1,109,4.79,1,0,167.0,Economic,2.0185266074441883,2-3 km
275336,Eixample,Noname - Charming 3BR+Terrace just off Gran Via,1435464,Jaume,f,13,41.38306672940918,2.1551754500947617,1,1,1,0,138,4.68,2,1,193.0,Economic,1.2192272425090844,1-2 km
40983,Eixample,Soho Colonial Eclectic Apartment,177617,Joaquin,t,7,41.39631,2.16832,1,0,0,0,319,4.45,2,0,175.0,Economic,0.991022088023652,<1 km
41952,Gràcia,Modern Apartment - Sagrada Familia,183340,Teresa,f,3,41.40568,2.16943,1,0,1,1,85,4.32,2,1,177.0,Economic,2.0338219676412286,2-3 km
275346,Sarrià-Sant Gervasi,Sunny terrace penthouse by Camp Nou Free Nespresso,1435464,Jaume,f,13,41.39175721131073,2.125056260360505,1,1,1,1,83,4.76,2,1,386.0,Luxury,3.6646709080579227,3-5 km
49968,Gràcia,Sagrada Familia area - Còrsega 2,135703,Nick,f,2,41.4057,2.17016,1,1,1,1,108,4.64,2,1,240.0,Luxury,2.039023458881328,2-3 km
276527,Gràcia,Nice rustic apartament - Parc Güell  PARKING FREE,1444707,Jesus,f,2,41.42042,2.148,1,1,0,1,593,4.59,2,1,160.0,Economic,4.053760242550752,3-5 km
