neighbourhood_group_cleansed,host_is_superhost,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
Retiro,f,40.4069796,-3.6750154,0,0,0,0,4.5,1,0,68.0,Low-Cost,2.6316589319916956,2-3 km
Puente de Vallecas,f,40.3921,-3.67003,0,0,0,0,5.0,1,0,16.0,Low-Cost,3.9312418758545635,3-5 km
Puente de Vallecas,f,40.39511,-3.67143,1,0,0,0,4.67,1,1,25.0,Low-Cost,3.616423639718415,3-5 km
Carabanchel,f,40.39555483922258,-3.7164371179819233,1,0,0,0,5.0,1,0,26.0,Low-Cost,2.602583562119716,2-3 km
Salamanca,f,40.43045,-3.6721,1,0,0,1,0.0,1,0,100.0,Economic,3.0529412731739423,3-5 km
Centro,f,40.42732,-3.70129,0,0,1,0,4.23,1,0,45.0,Low-Cost,1.1903701811698915,1-2 km
Centro,f,40.428946350853515,-3.7054105056548887,1,0,0,0,0.0,1,0,25.0,Low-Cost,1.3697778789503023,1-2 km
Arganzuela,f,40.40638,-3.69491,1,0,0,0,0.0,1,0,141.0,Economic,1.3540752762519852,1-2 km
Carabanchel,f,40.37154,-3.7538,1,0,0,0,0.0,1,0,82.0,Low-Cost,6.596223960144452,5-10 km
Barajas,f,40.47942,-3.59743,1,0,0,1,0.0,0,0,101.0,Economic,11.353811206229683,>10 km
Latina,f,40.41131,-3.73556,1,0,0,0,0.0,1,1,70.0,Low-Cost,2.7936382689970314,2-3 km
Chamberí,f,40.44168,-3.71689,1,0,1,0,0.0,2,1,128.0,Economic,3.002168817318417,3-5 km
Centro,f,40.42683,-3.71108,1,0,1,0,5.0,1,0,157.0,Luxury,1.3003605646842824,1-2 km
Latina,t,40.40726,-3.74174,1,0,1,0,4.67,1,0,70.0,Low-Cost,3.417429025817542,3-5 km
Centro,f,40.42896,-3.70693,1,0,1,1,0.0,2,0,157.0,Luxury,1.393582473757593,1-2 km
Arganzuela,f,40.39655,-3.70134,0,0,1,0,0.0,1,0,141.0,Economic,2.2501771615906083,2-3 km
Chamberí,f,40.4318,-3.71278,1,0,0,1,0.0,2,0,128.0,Economic,1.8566200612129748,1-2 km
Puente de Vallecas,f,40.39553,-3.66905,1,0,1,0,0.0,2,1,112.0,Economic,3.739738745056107,3-5 km
Carabanchel,f,40.39739,-3.71711,1,0,1,0,0.0,1,0,82.0,Low-Cost,2.4461722394640537,2-3 km
Centro,f,40.41099,-3.69947,1,0,0,1,5.0,2,0,157.0,Luxury,0.7173044200397487,<1 km
Centro,f,40.40923,-3.7073,0,0,0,0,0.0,0,0,157.0,Luxury,0.898758281889532,<1 km
San Blas - Canillejas,f,40.4465,-3.6165,0,0,0,0,0.0,1,0,126.0,Economic,8.061089923269074,5-10 km
Moncloa - Aravaca,f,40.44828,-3.71258,1,0,1,0,0.0,1,0,121.0,Economic,3.594439295114188,3-5 km
Hortaleza,f,40.46094,-3.64662,1,0,0,0,0.0,1,1,143.0,Luxury,6.87086980808128,5-10 km
San Blas - Canillejas,f,40.44764,-3.60751,1,0,0,0,0.0,1,0,126.0,Economic,8.809070460373809,5-10 km
Salamanca,f,40.4335,-3.66866,0,0,0,1,0.0,2,0,177.0,Luxury,3.4777566188494573,3-5 km
Chamberí,f,40.43869,-3.69663,0,0,1,0,0.0,1,0,128.0,Economic,2.5071128549311226,2-3 km
Centro,f,40.41523,-3.69862,1,0,0,0,0.0,1,0,157.0,Luxury,0.43288321155636306,<1 km
Villaverde,f,40.34987,-3.68931,1,0,0,1,0.0,2,1,72.0,Low-Cost,7.528744180463936,5-10 km
Villa de Vallecas,f,40.38173,-3.62161,0,0,0,0,5.0,1,0,73.0,Low-Cost,7.939976711376094,5-10 km
Villaverde,f,40.344593211644174,-3.713205914698856,1,0,0,0,0.0,1,0,72.0,Low-Cost,8.064557284345515,5-10 km
Puente de Vallecas,f,40.38744,-3.67012,1,0,0,0,5.0,2,1,112.0,Economic,4.303360631294328,3-5 km
Centro,f,40.41264944397596,-3.7041772528350863,1,0,0,0,5.0,2,0,157.0,Luxury,0.4591435660524016,<1 km
Salamanca,f,40.43441,-3.67294,0,0,1,1,0.0,1,0,177.0,Luxury,3.2382995492765247,3-5 km
Centro,f,40.41937962173029,-3.718665167368314,1,0,0,1,0.0,2,0,200.0,Luxury,1.3305149705526582,1-2 km
Carabanchel,f,40.38799,-3.7247,1,0,0,0,0.0,1,0,30.0,Low-Cost,3.672016097173781,3-5 km
Tetuán,f,40.46432,-3.70158,0,0,0,0,4.83,1,0,32.0,Low-Cost,5.293971076464887,5-10 km
Arganzuela,f,40.40433,-3.69217,1,0,0,0,0.0,1,0,31.0,Low-Cost,1.671841380217888,1-2 km
Centro,f,40.4219715,-3.6979255,1,0,0,0,0.0,1,0,132.0,Economic,0.7415106393623355,<1 km
Centro,f,40.41506,-3.7029,1,1,1,1,4.52,2,0,118.0,Economic,0.1892691486725002,<1 km
Centro,f,40.42373,-3.69893,0,0,0,1,0.0,1,0,92.0,Economic,0.8633256997015136,<1 km
Centro,f,40.40712,-3.70341,1,0,0,1,5.0,2,1,64.0,Low-Cost,1.0684889591953857,1-2 km
