latitude,longitude
40.4069796,-3.6750154
40.3921,-3.67003
40.39511,-3.67143
40.39555483922258,-3.7164371179819233
40.43045,-3.6721
40.42732,-3.70129
40.428946350853515,-3.7054105056548887
40.40638,-3.69491
40.37154,-3.7538
40.47942,-3.59743
40.41131,-3.73556
40.44168,-3.71689
40.42683,-3.71108
40.40726,-3.74174
40.42896,-3.70693
40.39655,-3.70134
40.4318,-3.71278
40.39553,-3.66905
40.38583,-3.716
40.39739,-3.71711
40.41099,-3.69947
40.40923,-3.7073
40.4465,-3.6165
40.44828,-3.71258
40.46094,-3.64662
40.44764,-3.60751
40.4335,-3.66866
40.43869,-3.69663
40.41523,-3.69862
40.34987,-3.68931
40.38173,-3.62161
40.344593211644174,-3.713205914698856
40.38744,-3.67012
40.41264944397596,-3.7041772528350863
40.43441,-3.67294
40.41937962173029,-3.718665167368314
40.38799,-3.7247
40.46432,-3.70158
40.40433,-3.69217
40.4219715,-3.6979255
40.41506,-3.7029
40.42373,-3.69893
40.40712,-3.70341
40.43169,-3.69791
40.42408,-3.69882
40.43301,-3.71113
40.467,-3.70441
40.41825,-3.7067
40.41145,-3.70824
40.40345,-3.68919
40.42833,-3.70418
40.41091517225615,-3.7078602612018585
40.43431,-3.68608
40.40404,-3.69289
40.42833,-3.70596
40.40044,-3.69247
40.4159033,-3.7078535
40.44752,-3.61102
40.4099721580656,-3.703735484123959
40.457,-3.6925
40.41400873507359,-3.705259883992854
40.41932,-3.67804
40.42342,-3.7056
40.40236,-3.70995
40.43381,-3.67598
40.38679,-3.71237
40.40949,-3.70759
40.365,-3.7588
40.41509,-3.69701
40.38067,-3.6496
40.423637402755475,-3.70406725932518
40.39299,-3.71078
40.40929,-3.70107
40.41315,-3.70639
40.40993,-3.72286
40.41662,-3.7104
40.37273,-3.71509
40.47287,-3.6525
40.4241,-3.68986
40.42725,-3.70603
40.48032,-3.71766
40.42888,-3.70942
40.34242,-3.71185
40.45594,-3.69787
40.42675,-3.71063
40.46683,-3.68868
40.40197,-3.69144
40.44561,-3.70249
40.35592,-3.69183
40.3962,-3.69586
40.41784,-3.71139
40.42097137683257,-3.703593673044428
40.35556,-3.68095
40.38141,-3.65699
40.42572,-3.70327
40.42787,-3.70574
40.44349,-3.58368
40.43004,-3.71699
40.415720987,-3.709799647
40.41527,-3.70613
40.41082,-3.70526
40.4214,-3.69964
40.47245,-3.67821
40.43635,-3.68123
40.4477,-3.70329
40.39467,-3.69358
40.42437,-3.71206
40.43598,-3.60904
40.41888,-3.7078
40.369,-3.75432
40.38937,-3.74211
40.409,-3.69796
40.45676,-3.7049
40.4099,-3.6968
40.42303596861137,-3.706398852461156
40.42151,-3.71107
40.42169,-3.69945
40.38789,-3.64395
40.40828,-3.70557
40.42069,-3.67581
40.39675,-3.77188
40.46036,-3.7054
40.34318,-3.68543
40.4759,-3.62837
40.39537,-3.76935
40.34142,-3.68539
40.43115,-3.67851
40.43848,-3.61177
40.47222,-3.71791
40.43012,-3.71064
40.4358025697224,-3.714382722973823
40.43572,-3.68043
40.39797,-3.65828
40.4303,-3.71758
40.39831,-3.73845
40.43069,-3.62837
40.43819,-3.60716
40.41381,-3.70274
40.45961,-3.64781
40.35627,-3.68376
40.41515,-3.70761
40.41751,-3.71004
40.39687,-3.77302
40.44985,-3.6684
40.4133196,-3.7049957
40.42599,-3.70374
40.42602,-3.7051
40.4671,-3.69702
40.40377,-3.60052
40.44087,-3.67331
40.42562,-3.6049
40.43668,-3.61959
40.408342061187675,-3.709891841802986
40.4711,-3.65518
40.43085,-3.64057
40.4395,-3.63327
40.40614,-3.63642
40.43157,-3.70764
40.43879,-3.61425
40.38703,-3.64496
40.41016,-3.65103
40.3966,-3.69431
40.44905,-3.69865
40.4213027,-3.6980777
40.4281,-3.67308
40.40367,-3.70387
40.43678,-3.68376
40.42383,-3.62498
40.42966,-3.6247
40.43923,-3.6944
40.412301298669675,-3.705883121834443
40.43118,-3.65922
40.410489497883454,-3.7148757303471727
40.36214,-3.76173
40.42543,-3.60688
40.38209,-3.70588
40.42599,-3.70513
40.41899,-3.70061
40.40877,-3.70638
40.422699785156254,-3.7050664194720433
40.43207,-3.72001
40.43815,-3.70218
40.42888697204931,-3.7040381665402617
40.43508,-3.6709
40.43326,-3.67281
40.43271416840205,-3.67134968689745
40.3884257,-3.6698306
40.41155,-3.70832
40.43806,-3.67094
40.46201,-3.69029
40.45296673400762,-3.659898340702056
40.41114,-3.64456
40.39587,-3.77312
40.42108,-3.70179
40.47808,-3.64891
40.40809,-3.69939
40.40597,-3.73396
40.42388,-3.6974
40.42399,-3.70635
40.37712,-3.77795
40.41982594031102,-3.702476720695694
40.40811,-3.64833
40.43116,-3.69667
40.41583,-3.70769
40.43973,-3.65633
40.40182695576393,-3.649489671173308
40.45091,-3.70253
40.42432,-3.70986
40.4184,-3.61572
40.42075,-3.67603
40.42759,-3.6039
40.43028,-3.67795
40.43024,-3.71143
40.42907,-3.70406
40.3420867,-3.6849834
40.40551,-3.68049
40.40549,-3.75199
40.40929,-3.7369
40.40116,-3.69692
40.40993,-3.70486
40.43099728256296,-3.7031364187362543
40.42726,-3.64142
40.45633,-3.69986
40.42301,-3.68187
40.39427,-3.6646
40.47826,-3.71392
40.39342,-3.70974
40.41704052868044,-3.7026523055313
